concurrency,pool,throughput
14851,5,1250000
14881,5,1222493
14911,5,1222493
14941,5,1253132
14971,5,1219512
31,7,359712
61,7,453720
91,7,548847
121,7,628930
151,7,652741
181,7,679347
211,7,698324
241,7,751879
271,7,772797
301,7,818330
331,7,853242
361,7,889679
391,7,914076
421,7,946969
451,7,1000000
481,7,1006036
511,7,1050420
541,7,899280
571,7,1098901
601,7,1096491
631,7,1077586
661,7,1118568
691,7,1118568
721,7,1121076
751,7,1136363
781,7,1184834
811,7,1228501
841,7,1231527
871,7,1231527
901,7,1138952
931,7,1228501
961,7,1240694
991,7,1269035
1021,7,1184834
1051,7,1272264
1081,7,1246882
1111,7,1308900
1141,7,1315789
1171,7,1333333
1201,7,1308900
1231,7,1179245
1261,7,1340482
1291,7,1282051
1321,7,1259445
1351,7,1322751
1381,7,1302083
1411,7,1369863
1441,7,1213592
1471,7,1373626
1501,7,1336898
1531,7,1326259
1561,7,1138952
1591,7,1329787
1621,7,1302083
1651,7,1355013
1681,7,1344086
1711,7,1377410
1741,7,1079913
1771,7,1381215
1801,7,1326259
1831,7,1396648
1861,7,1373626
1891,7,1388888
1921,7,1400560
1951,7,1385041
1981,7,1373626
2011,7,1420454
2041,7,1400560
2071,7,1424501
2101,7,1385041
2131,7,1347708
2161,7,1416430
2191,7,1400560
2221,7,1340482
2251,7,1432664
2281,7,927643
2311,7,1412429
2341,7,1432664
2371,7,1457725
2401,7,1412429
2431,7,1373626
2461,7,1358695
2491,7,1412429
2521,7,1344086
2551,7,1388888
2581,7,1432664
2611,7,1445086
2641,7,1420454
2671,7,1381215
2701,7,1392757
2731,7,1388888
2761,7,1344086
2791,7,1366120
2821,7,1355013
2851,7,1424501
2881,7,1344086
2911,7,1400560
2941,7,1351351
2971,7,1201923
3001,7,1366120
3031,7,1396648
3061,7,1396648
3091,7,1344086
3121,7,1432664
3151,7,1344086
3181,7,1428571
3211,7,1373626
3241,7,1404494
3271,7,1420454
3301,7,622665
3331,7,1392757
3361,7,1385041
3391,7,1369863
3421,7,1404494
3451,7,1366120
3481,7,1373626
3511,7,1385041
3541,7,1358695
3571,7,1377410
3601,7,1388888
3631,7,1377410
3661,7,1336898
3691,7,1329787
3721,7,1404494
3751,7,1351351
3781,7,1302083
3811,7,1392757
3841,7,1412429
3871,7,1355013
3901,7,1388888
3931,7,1366120
3961,7,1428571
3991,7,1396648
4021,7,1428571
4051,7,1381215
4081,7,1404494
4111,7,1381215
4141,7,1420454
4171,7,1392757
4201,7,1336898
4231,7,1420454
4261,7,1420454
4291,7,1412429
4321,7,1190476
4351,7,1305483
4381,7,1404494
4411,7,1336898
4441,7,1377410
4471,7,1355013
4501,7,1388888
4531,7,1369863
4561,7,1392757
4591,7,1315789
4621,7,1377410
4651,7,1347708
4681,7,1237623
4711,7,1400560
4741,7,1424501
